image_path,image_section,have_wrapping,have_fov_clipping,have_ringing,have_striping,have_blurring,have_shadowed_arc,have_rf_noise,have_spiking,have_signal_loss,have_unexpected_inhomogeneity,have_ghosting,have_motion_slice,have_unknown
/mnt/cabinaData/openmind/xnat_download_10k/all/10kdscv07/ceibcs_S07972/ceibcs_E08590/scans/13/resources/NIFTI/files/12124113532121052961843201412261543266839904-13-1-14vj9llNFCEREBRALTRIGEMINOs013a1001.nii.gz,14,False,False,False,False,False,False,False,False,False,False,False,False,False
/mnt/cabinaData/openmind/xnat_download_10k/all/10kdscv18/ceibcs_S02671/ceibcs_E02746/scans/801/resources/NIFTI/files/12840113619218210808617218121141399467030195-801-1-15bhu3gTRATSET2SENSEs801a1008.nii.gz,7,False,False,False,False,False,False,False,False,False,False,False,False,False
/mnt/cabinaData/openmind/xnat_download_10k/all/10kdscv12/ceibcs_S04503/ceibcs_E04676/scans/9/resources/NIFTI/files/128401136192182108086172462061459426928412724-9-1-xp632zGAANGIOCBTONI9s009a1001.nii.gz,0,False,False,False,False,False,False,False,False,False,False,False,False,False
/mnt/cabinaData/openmind/xnat_download_10k/all/10kdscv17_rev/ceibcs_S04018/ceibcs_E04351/scans/11/resources/NIFTI/files/216840111366964014008416513202014143101303899-11-1-vc3p3rCRANEOTUMORALs011a1001.nii.gz,13,False,False,False,False,False,False,False,False,False,False,False,False,False
/mnt/cabinaData/openmind/xnat_download_10k/all/10kdscv04/ceibcs02_S14776/ceibcs02_E56473/scans/8/resources/NIFTI/files/1.2.840.113619.2.222.2025.1615202.9661.1470289092.674_POLIGONO_2_SLABS_FAT_SAT_i00006.nii.gz,0,False,False,False,False,False,False,False,False,False,False,False,False,False
/mnt/cabinaData/openmind/xnat_download_10k/all/10kdscv09/ceibcs_S09885/ceibcs_E11129/scans/11/resources/NIFTI/files/121241135328022151152016071210503675559890-11-1-16rhavzEPILEPSIALEONs011a1001.nii.gz,15,False,False,False,False,False,False,False,False,False,False,False,False,False
/mnt/cabinaData/openmind/xnat_download_10k/all/10kdscv10/ceibcs_S03687/ceibcs_E03839/scans/2/resources/NIFTI/files/121241135328022151122016031619400867577110-2-5-law8acAAHeadScouts002a1001.nii.gz,0,False,False,False,False,False,False,False,False,False,False,False,False,False
/mnt/cabinaData/openmind/xnat_download_10k/all/10kdscv17_rev/ceibcs_S04072/ceibcs_E04230/scans/1201/resources/NIFTI/files/216840111366964014008416513202014218200737858-1201-35-1yie0j5CAISCONTRASTEs1201a1001.nii.gz,10,False,False,False,False,False,False,False,False,False,False,False,False,False
/mnt/cabinaData/openmind/xnat_download_10k/all/10kdscv16/ceibcs_S03502/ceibcs_E03650/scans/3/resources/NIFTI/files/136141342891100211201504221811177871453942-3-1-diafbeCRNEO2015s003a1001.nii.gz,11,False,False,False,False,False,False,False,False,False,False,False,False,False
/mnt/cabinaData/openmind/xnat_download_10k/all/10kdscv04/ceibcs_S02329/ceibcs_E02396/scans/4/resources/NIFTI/files/1284011361921821080861726774144828571624644-4-1-3anoys2170850s004a1001.nii.gz,13,False,False,False,False,False,False,False,False,False,False,False,False,False
